variant,negative_pool,n_samples,n_positive,n_series,n_folds_ran,n_folds_skipped,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std,variant_millions_nominal
BulkFormer-37M,neg_hard,31032,8725,1654,5,0,0.780572024880583,0.10549374512234408,0.6101942731612259,0.13439351692984627,0.7145851613850744,0.09206312782051769,0.6811476398453704,0.12048079666494634,0.7316434030012072,0.09247410286398032,0.5825373151596207,0.07756465714511669,0.19224264346722092,0.06088229930173478,37
BulkFormer-50M,neg_hard,31032,8725,1654,5,0,0.723603274185203,0.10980275185886072,0.5341106162084797,0.1270168037480648,0.6795048666458159,0.10191812563518997,0.6617773547200935,0.11478791413533777,0.6916927332686023,0.13270009979391004,0.5500667849959062,0.0628171158884551,0.23804456124906528,0.08959784070160365,50
BulkFormer-37M,neg_whole_corpus,34900,8725,10681,5,0,0.9247034321098635,0.03707831627317352,0.832995211791839,0.07537159917732482,0.8775827481449854,0.01590892540964795,0.8396863488673235,0.06944511966533735,0.887450321577161,0.016276412943861094,0.7693623086923719,0.046328127490931854,0.09127362947202419,0.014578564664439455,37
BulkFormer-50M,neg_whole_corpus,34900,8725,10681,5,0,0.9278341506046421,0.03563076262138895,0.8467135041522186,0.07215687430792973,0.8983129008090392,0.012989096997048179,0.839401235988575,0.06933673814316813,0.9163400289039064,0.013238901642228542,0.8008163101563776,0.03824427712446881,0.08118558644553814,0.013502751972896458,50
